"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Raut A.; Puri C.","Raut, Amey (57222069368); Puri, Chetan (58909567600)","57222069368; 58909567600","Predicting Bank Customer Churn with Interpretable Machine Learning using SHAP","2025","Proceedings of the 6th International Conference on Electronics and Sustainable Communication Systems, ICESC 2025","","","","1611","1616","0","10.1109/ICESC65114.2025.11212534","https://www.scopus.com/pages/publications/105022628433?origin=resultslist","Datta Meghe Institute of Higher Education and Research, Faculty of Engineering and Technology, Dept. of Computer Science and Engineering, Maharashtra, Wardha, India","Raut A., Datta Meghe Institute of Higher Education and Research, Faculty of Engineering and Technology, Dept. of Computer Science and Engineering, Maharashtra, Wardha, India; Puri C., Datta Meghe Institute of Higher Education and Research, Faculty of Engineering and Technology, Dept. of Computer Science and Engineering, Maharashtra, Wardha, India","Customer churn is a very important phenomenon in the retail banking industry, which causes large losses in terms of revenue and very low market share of the financial institutions. This research paper presents a more developed prediction model utilizing Random Forest Classifier combined with SHAP (SHapley Additive exPlanations) to predict customer churn in a way that the decisions and their rationale remain unobscured. Based on a rich data consisting of 10,000 customer records, the model rises to an eighty-six-point five percent test accuracy, which is better than baseline models like logistic regression. The SHAP analysis the study uses is detailed and allows identifying critical churn predictors, namely, age, account balance, and the number of banking products, demonstrating the richness and depth of insights about customer behavior. Based on these results, banking practitioners can develop specific retention initiatives, including special premium services on behalf of clients that have large balances and considerations in managing many products, due to a surprising tendency of increased churn in the latter group. The ability to explain models more concisely provided by the incorporation of SHAP shortens the way to regulatory compliance in the banking industry where explainable AI is a strict requirement of financial standards and becomes a factor contributing to the trust of various stakeholders. This research addresses the very challenge of low predictive accuracy and a lack of actionable transparency, thereby contributing to an uptake of machine learning to bank management, both in the short term with this framework as well as into the future with the demonstration of the framework to a wider latent market. The paper establishes the foundation of improving the tool in such a way, as to include real-world data and complex ensemble methods to optimize churn prediction further. © 2025 IEEE.","Banking; Customer Churn; Explainable AI; Random Forest; SHAP","Additives; Balancing; Commerce; Competition; Forecasting; Learning systems; Logistic regression; Machine learning; Prediction models; Random forests; Regulatory compliance; Sales; Banking industry; Customer churns; Explainable AI; Low markets; Machine-learning; Market share; Random forests; Retail banking; Shapley; Shapley additive explanation; Banking; Decision trees","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Final","","Scopus","2-s2.0-105022628433"
"Shahabikargar M.; Beheshti A.; Zhang X.; Foo J.; Jolfaei A.","Shahabikargar, Maryam (57814615300); Beheshti, Amin (50361038600); Zhang, Xuyun (35148680700); Foo, Jin (58298642900); Jolfaei, Alireza (36680369700)","57814615300; 50361038600; 35148680700; 58298642900; 36680369700","A comprehensive survey on customer churn analysis studies","2026","Journal of Information and Telecommunication","10","1","","24","70","2","10.1080/24751839.2025.2528440","https://www.scopus.com/pages/publications/105010511202?origin=resultslist","School of Computing, Macquarie University, Sydney, Australia; College of Science and Engineering, Flinders University, Adelaide, Australia","Shahabikargar M., School of Computing, Macquarie University, Sydney, Australia; Beheshti A., School of Computing, Macquarie University, Sydney, Australia; Zhang X., School of Computing, Macquarie University, Sydney, Australia; Foo J., School of Computing, Macquarie University, Sydney, Australia; Jolfaei A., College of Science and Engineering, Flinders University, Adelaide, Australia","This paper presents a comprehensive survey of customer churn analysis studies. It begins by examining the customer journey and touchpoints, emphasizing their influence on churn behaviour. The survey then reviews a range of machine learning algorithms used for churn prediction and explores the various feature types employed in this domain. Additionally, it investigates churn analysis across key industries, including telecommunications, banking, and gaming, highlighting the modelling approaches and features commonly applied within each sector. Finally, the paper identifies existing limitations in current research and proposes future directions to address these gaps and associated challenges. Overall, this survey aims to provide a thorough understanding of current practices and to support further advancements in the field of customer churn analysis. © 2025 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","business domains; Customer churn; feature engineering; machine learning analysis; predictive models","Learning algorithms; Learning systems; Machine learning; Telecommunication industry; Business domain; Churn analysis; Churn predictions; Customer churns; Feature engineerings; Machine learning algorithms; Machine learning analyze; Machine-learning; Predictive models; Touch-points; Sales","Taylor and Francis Ltd.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105010511202"
"Bhuria R.; Gupta S.; Kaur U.; Bharany S.; Rehman A.U.; Hussen S.; Tejani G.G.; Jangir P.","Bhuria, Ruchika (59313530900); Gupta, Sheifali (57072019200); Kaur, Upinder (59912664400); Bharany, Salil (57271146200); Rehman, Ateeq Ur (57210246601); Hussen, Seada (57443801600); Tejani, Ghanshyam G. (57133057200); Jangir, Pradeep (56857572500)","59313530900; 57072019200; 59912664400; 57271146200; 57210246601; 57443801600; 57133057200; 56857572500","Ensemble-based customer churn prediction in banking: a voting classifier approach for improved client retention using demographic and behavioral data","2025","Discover Sustainability","6","1","28","","","29","10.1007/s43621-025-00807-8","https://www.scopus.com/pages/publications/85217877173?origin=resultslist","Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India; Department of Computer Science and Engineering, Lovely Professional University, Punjab, Phagwara, 144411, India; School of Computing, Gachon University, Seongnam-si, 13120, South Korea; Jadara Research Center, Jadara University, Irbid, 21110, Jordan; Department of CSE, Graphic Era Deemed, To Be University, Uttarakhand, Dehradun, 248002, India; Department of Electrical Power, Adama Science and Technology University, Adama, 1888, Ethiopia","Bhuria R., Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India; Gupta S., Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India; Kaur U., Department of Computer Science and Engineering, Lovely Professional University, Punjab, Phagwara, 144411, India; Bharany S., Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India; Rehman A.U., School of Computing, Gachon University, Seongnam-si, 13120, South Korea; Hussen S., Department of Electrical Power, Adama Science and Technology University, Adama, 1888, Ethiopia; Tejani G.G., Jadara Research Center, Jadara University, Irbid, 21110, Jordan; Jangir P., Department of CSE, Graphic Era Deemed, To Be University, Uttarakhand, Dehradun, 248002, India","Customer turnover is a crucial issue in banking since maintained profitability depends on keeping clients. This work aims to categorize consumer turnover in banks by using a new ensemble approach combining many machine learning methods, hence enhancing churn prediction models. Using a comprehensive dataset including demographic, financial, and behavioral data—such as credit score, account balance, tenure, and activity levels—the study employs the goal variable revealing if a customer has left the bank. The study starts with univariate, bivariate, and multivariate feature exploration and subsequently uses the Interquartile Range (IQR) approach to identify outliers thereby improving the data quality. Five models—K-Nearest Neighbors, Support Vector Classifier, Random Forest, Decision Tree, and XGBoost—a Voting Classifier ensemble—are used to estimate project churn. Building upon all the strengths of each model, this approach improves the prediction of classification and provides a balanced and highly robust classification system. The applied approaches are K-Nearest Neighbors (KNN), Support Vector Classifier (SVC), Random Forest, Decision Tree, and XGBoost within a Voting Classifier configuration. The performance of the Voting Classifier without SMOTE yields the following results: Accuracy: 0.87, precision: 0.87, recall: 0.80, and F1-Score: 0.87. The proposed model that extend the base model using SMOTE (Synthetic Minority Over-sampling Technique), yields a higher prediction accuracy of 0.90, precision of 0.90, recall of 0.90 and F1-Score of 0.90. This enhancement is proving the efficiency of SMOTE to handle the class imbalance problem in order to render the churn prediction more balanced and reliable system. The proposed approach assures a reliable solution to the strategies to retain the customers in the banking organisations. © The Author(s) 2025.","Challenges in statistical methods; Empowerment; Ensemble methods; Explainability; Inclusivity; Insights into customer behavior; Machine learning models; Resilience; Sustainability","banking; consumption behavior; demography; empowerment; machine learning; numerical model; prediction; statistical analysis; sustainability","Springer Nature","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85217877173"
"Gottipati K.C.; Maddineni D.","Gottipati, Kalyan C. (59523216100); Maddineni, Deepika (59563233700)","59523216100; 59563233700","Customer Churn Prediction by Utilizing Bald Eagle Hunting Strategy with White Tailed Eagle Algorithm and Support Vector Machine Classifier","2025","3rd International Conference on Data Science and Information System, ICDSIS 2025","","","","","","1","10.1109/ICDSIS65355.2025.11070746","https://www.scopus.com/pages/publications/105011828238?origin=resultslist","Citizens Financial Group, Department of Information Technology, AZ, United States; JPMorgan & Chase Co, Department of Information Technology, New York, United States","Gottipati K.C., Citizens Financial Group, Department of Information Technology, AZ, United States; Maddineni D., JPMorgan & Chase Co, Department of Information Technology, New York, United States","In the banking industry, customer churn occurs when customers stop using the services provided, leading to a loss of clientele, which negatively impacts the bank's reputation. To retain customers, understanding and analyzing the causes of churn, as well as its predicting is crucial. Machine Learning (ML) algorithms are introduced to analyze and predict customer churn, helping banks identify and retain valuable clients. Classification techniques are employed to classify customer behavior, determining whether a customer will stay or churn. The Bald Eagle hunting strategy-White-tailed eagle-Support Vector Machine (BE-WE-SVM) focuses on predicting customer churn based on the Bank Customer Churn Prediction dataset, using features that enhance churn prediction accuracy. The proposed BE-WE-SVM model was evaluated using existing performance metrics and achieved an accuracy of 99.04%, precision of 98.30%, F1-score of 98.59%, and recall of 98.98%. For the Bank Customer Churn Prediction dataset, the model obtained an accuracy of 99.04%, precision of 98.98%, F1-score of 98.59%, and recall of 98.98%. The proposed method outperforms existing methods, achieving higher accuracy in customer churn prediction.  © 2025 IEEE.","banking industry; customer churn; machine learning; support vector machine; white tailed eagle algorithm","Banking; Classification (of information); Classifiers; Distributed computer systems; Forecasting; Learning algorithms; Learning systems; Sales; Service industry; Bald eagles; Banking industry; Customer churn prediction; Customer churns; Customer understanding; F1 scores; Machine-learning; Support vector machine classifiers; Support vectors machine; White tailed eagle algorithm; Support vector machines","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Final","","Scopus","2-s2.0-105011828238"
"Singh A.K.; Kori G.; Garg P.; Srivastava G.","Singh, Ashutosh Kumar (60568625900); Kori, Gaurav (60568626000); Garg, Puneet (57222723363); Srivastava, Gaurav (60568626100)","60568625900; 60568626000; 57222723363; 60568626100","Bank Churn Prediction Using Machine Learning","2025","2025 IEEE 7th International Conference on Computing, Communication and Automation, ICCCA 2025","","","","","","0","10.1109/ICCCA66364.2025.11325204","https://www.scopus.com/pages/publications/105035163081?origin=resultslist","KIET Group of Institutions, Dept. of CSE (AI&ML), Ghaziabad, India; KIET Group of Institutions, Dept. of CSE, Ghaziabad, India","Singh A.K., KIET Group of Institutions, Dept. of CSE (AI&ML), Ghaziabad, India; Kori G., KIET Group of Institutions, Dept. of CSE (AI&ML), Ghaziabad, India; Garg P., KIET Group of Institutions, Dept. of CSE, Ghaziabad, India; Srivastava G., KIET Group of Institutions, Dept. of CSE (AI&ML), Ghaziabad, India","Customer churn prediction represents a critical challenge for the banking sector, with significant implications for revenue retention and customer relationship management. This study investigates the factors influencing churn behavior among clients of a European retail bank, utilizing a dataset comprising 10,000 customer records. We employ a comprehensive machine learning framework incorporating seven distinct algorithms: Logistic Regression (as baseline), K-Nearest Neighbors, Decision Tree, Random Forest, AdaBoost, XGBoost, and an Artificial Neural Network. The analysis includes feature engineering to identify key predictors of churn, encompassing demographic characteristics, account activity patterns, and service usage metrics. Our comparative approach examines how different algorithmic architectures capture the complex relationships underlying customer attrition. The study contributes to financial analytics literature by providing empirical insights into machine learning applications for churn prediction in the European banking context. Furthermore, the results offer practical value for bank managers seeking to develop targeted retention programs and optimize customer engagement strategies through data-driven decision making. © 2025 IEEE.","","Banking; Customer satisfaction; Learning systems; Logistic regression; Machine learning; Nearest neighbor search; Neural networks; Public relations; Random forests; Sales; Banking sectors; Churn predictions; Critical challenges; Customer churn prediction; Customer relationship management; Learning frameworks; Logistics regressions; Machine-learning; Nearest-neighbour; Retail banks; Decision trees","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Final","","Scopus","2-s2.0-105035163081"
"Varshini B.A.; Gayathri B.; Surya V.; Devi K.L.","Varshini, Bollepalli Amrutha (60661016300); Gayathri, Bolla (59997476400); Surya, V. (58202795700); Devi, K. Lalitha (59141723500)","60661016300; 59997476400; 58202795700; 59141723500","Bank Customer Churn Rate Prediction and Minimization Using Machine Learning","2026","7th International Conference on Innovative Trends in Information Technology, ICITIIT 2026","","","","","","0","10.1109/ICITIIT68860.2026.11499530","https://www.scopus.com/pages/publications/105040687064?origin=resultslist","Sathyabama Institute of Science and Technology, Chennai, India","Varshini B.A., Sathyabama Institute of Science and Technology, Chennai, India; Gayathri B., Sathyabama Institute of Science and Technology, Chennai, India; Surya V., Sathyabama Institute of Science and Technology, Chennai, India; Devi K.L., Sathyabama Institute of Science and Technology, Chennai, India","The customer churn turnover, which is the termination of a relationship with a bank by a customer, is a major challenge to financial institutions that may result in loss of revenue and decreased long-term stability. With the rise in the competition in the banking industry, customer retention has become as important as customer acquisition. The proposed paper will suggest a machine learningbased solution to customer churn prediction and reduction. Customer data is analysed to predict the churn with several machine learning models, like Random Forest, AdaBoost, XGBoost, Logistic Regression, and Naive Bayes. Handling missing values, eliminating duplicates, and normalization of data are some of the preprocessing processes in the methodology. Also, approaches like SMOTE (Synthetic Minority Over-sampling Technique) are also used in combating imbalance in classes. The models are compared on performance measures like recall, accuracy and ROC-AUC, where AdaBoost is able to perform best in terms of recall, implying that it is very efficient in revealing at-risk customers. The system is a webbased application developed on the Flask framework that enables real-time churn prediction. This allows banks take proactive measures towards reducing churn by keeping high-risk customers. © 2026 IEEE.","AdaBoost; Class Imbalance; Customer churn; Data Preprocessing; logistic regression; machine learning; Naive Bayes; predictive analytics; random forest; Retention Strategies; SMOTE; XGBoost","Banking; Barium compounds; Big data; Competition; Customer satisfaction; Data mining; Learning systems; Logistic regression; Machine learning; Predictive analytics; Random forests; Sales; Class imbalance; Customer churns; Data preprocessing; Logistics regressions; Machine-learning; Naive bayes; Random forests; Retention strategies; Synthetic minority over-sampling techniques; Xgboost; Decision trees","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Final","","Scopus","2-s2.0-105040687064"
"Warnakulaarachchi C.; Kumarapathirage S.","Warnakulaarachchi, Claudia (60212510400); Kumarapathirage, Sapna (58562228600)","60212510400; 58562228600","Predictive Banking: A Deep Ensemble Customer Churn Prediction Model for Enhanced Customer Retention","2026","Lecture Notes in Networks and Systems","1514 LNNS","","","469","483","1","10.1007/978-3-031-97119-8_36","https://www.scopus.com/pages/publications/105023107357?origin=resultslist","School of Computing, Informatics Institute of Technology, Colombo, Sri Lanka","Warnakulaarachchi C., School of Computing, Informatics Institute of Technology, Colombo, Sri Lanka; Kumarapathirage S., School of Computing, Informatics Institute of Technology, Colombo, Sri Lanka","The issue of customer churn is increasingly critical for numerous organizations, particularly within the banking sector, due to its negative impact on revenue. Factors such as market saturation, changing customer preferences, and rising competition contribute to this challenge. Identifying potential churners early enables banks to proactively engage with these customers, thereby improving their CRM strategies to be more assertive and customer-centric. This paper introduces an innovative deep-learning ensemble model designed to predict customer churn in the banking industry. The proposed model operates on four levels. The initial two levels employ three essential data preprocessing techniques alongside a comprehensive feature reduction system utilizing XGBoost. In the third level, four distinct classifiers—CNN, SVM, LR, and DT—are trained as base classifiers. Finally, the predictions from these base classifiers are combined using a stacking ensemble method, which capitalizes on the strengths of each classifier by incorporating CatBoost as a meta-learner. Experimental results indicate that the proposed model surpasses other machine learning, deep learning, and ensemble algorithms, such as RF, SVM, CNN, and AdaBoost, achieving an impressive accuracy of 87.95%. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.","Customer churn prediction; Deep learning; Stacking ensemble","Banking; Classification (of information); Competition; Customer satisfaction; Forecasting; Learning algorithms; Learning systems; Prediction models; Sales; Banking sectors; Base classifiers; Customer churn prediction; Customer churns; Customer preferences; Customer retention; Deep learning; Prediction modelling; Stacking ensemble; Stackings; Deep learning","Springer Science and Business Media Deutschland GmbH","Conference paper","Final","","Scopus","2-s2.0-105023107357"
"Kerkri A.; Belakhdar A.; Madani M.A.","Kerkri, Abdelmounaim (57204426636); Belakhdar, Adnane (57729391400); Madani, Mohamed Amine (55376210100)","57204426636; 57729391400; 55376210100","Machine learning counterfactuals for customer churn: a business rules framework with cross-domain validation","2026","International Journal of Data Science and Analytics","22","1","103","","","0","10.1007/s41060-026-01081-1","https://www.scopus.com/pages/publications/105033470252?origin=resultslist","Laboratory of Engineering Sciences and Intelligent Systems, National School of Applied Sciences Mohammed Premier University, Oujda, Morocco; Faculty of Sciences University Mohammed 1st, Oujda, Morocco","Kerkri A., Laboratory of Engineering Sciences and Intelligent Systems, National School of Applied Sciences Mohammed Premier University, Oujda, Morocco; Belakhdar A., Faculty of Sciences University Mohammed 1st, Oujda, Morocco; Madani M.A., Laboratory of Engineering Sciences and Intelligent Systems, National School of Applied Sciences Mohammed Premier University, Oujda, Morocco","Customer churn prediction is widely studied, but most models stop at risk scores and do not indicate how firms should intervene. We propose a counterfactual explanation framework that turns churn scores into individual retention actions by formulating churn prevention as a constrained cost-minimization problem and implementing a greedy, business-rule-based approximation. The framework encodes actionable versus non-actionable features, domain-specific intervention bounds and cost weights, and yields per-customer counterfactual profiles together with a Digital Retention Action Index that jointly evaluates churn reduction, intervention cost, and sparsity. We evaluate the approach on five public churn datasets (banking, e-commerce, internet service provision, credit cards, and streaming). Across domains, greedy counterfactuals significantly outperform random and single-feature baselines, yet success rates vary strongly (0.36–69.35%), revealing a sharp dissociation between classification accuracy and the feasibility of actionable recourse. Financial services exhibit much higher counterfactual success than digital services, suggesting that explicit service attributes provide more effective intervention levers than behavioral engagement metrics. These results show that high predictive accuracy alone is insufficient for retention management and that assessing the actionability of the feature space is essential when deploying churn models in practice. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2026.","Counterfactual explanations; Customer churn; Customer retention; Machine learning","Costs; Customer satisfaction; Electronic commerce; Machine learning; Sales; Business rules; Cost minimization; Counterfactual explanation; Counterfactuals; Cross-domain; Customer churn prediction; Customer churns; Customer retention; Machine-learning; Risk score; Learning systems","Springer Science and Business Media Deutschland GmbH","Article","Final","","Scopus","2-s2.0-105033470252"
"T N N.; Pramod D.","T N, Nisha (57211012107); Pramod, Dhanya (55791686900)","57211012107; 55791686900","Improving bank customer churn prediction with feature reduction using GA","2025","Scientific Reports","15","1","40035","","","3","10.1038/s41598-025-23867-2","https://www.scopus.com/pages/publications/105021825929?origin=resultslist","Symbiosis Centre for Information Technology (SCIT), Symbiosis International (Deemed University), Pune, India","T N N., Symbiosis Centre for Information Technology (SCIT), Symbiosis International (Deemed University), Pune, India; Pramod D., Symbiosis Centre for Information Technology (SCIT), Symbiosis International (Deemed University), Pune, India","Customer churn is one complex problem that all banking institutes struggle to deal with. The increased competition in the industry is forcing the banks to maintain customer loyalty by providing apt services to the demanding customers. Analysing the customer churn data will enable the banks to plan their services effectively and depend on various machine learning techniques to predict this churn. However, the high data dimension in these datasets adds adverse effects to this algorithm’s performance. This work proposes a way to improve the prediction accuracy of high-dimensional data with the help of feature selection using Genetic Algorithm (GA). This model identifies the machine learning algorithms which are sensitive towards the feature selection and which are not. The model is tested on a primary dataset and the results are analysed. This research also analyses those features which are the most important in predicting customer churn while applying the GA-optimized classification models. This assists the banking institutions to revise their marketing strategy so that they can attract more customers and also reduce customer attrition by providing the apt services to them. © The Author(s) 2025.","Customer churn prediction; Feature selection; Feature weightage; Machine learning classifiers: genetic algorithm; Sensitivity towards generations","Algorithms; Consumer Behavior; Humans; Machine Learning; Marketing; algorithm; consumer attitude; human; machine learning; marketing","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105021825929"
"Gkonis V.; Tsakalos I.","Gkonis, Vasileios (58771362500); Tsakalos, Ioannis (55605618300)","58771362500; 55605618300","Deep Dive Into Churn Prediction in the Banking Sector: The Challenge of Hyperparameter Selection and Imbalanced Learning","2025","Journal of Forecasting","44","2","","281","296","8","10.1002/for.3194","https://www.scopus.com/pages/publications/85203090609?origin=resultslist","Department of Accounting and Finance, University of Thessaly, Larissa, Greece","Gkonis V., Department of Accounting and Finance, University of Thessaly, Larissa, Greece; Tsakalos I., Department of Accounting and Finance, University of Thessaly, Larissa, Greece","Forecasting customer churn has long been a major issue in the banking sector because the early identification of customer exit is crucial for the sustainability of banks. However, modeling customer churn is hampered by imbalanced data between classification classes, where the churn class is typically significantly smaller than the no-churn class. In this study, we examine the performance of deep neural networks for predicting customer churn in the banking sector, while incorporating various resampling techniques to overcome the challenges posed by imbalanced datasets. In this work we propose the utilization of the APTx activation function to enhance our model’s forecasting ability. In addition, we compare the effectiveness of different combinations of activation functions, optimizers, and resampling techniques to identify configurations that yield promising results for predicting customer churn. Our results offer dual insights, enriching the existing literature in the field of hyperparameter selection, imbalanced learning, and churn prediction, while also revealing that APTx can be a promising component in the field of neural networks. © 2024 The Author(s). Journal of Forecasting published by John Wiley & Sons Ltd.","APTx activation function; artificial intelligence; customer churn prediction; hyperparameter selection; imbalanced learning","Adversarial machine learning; Banking; Contrastive Learning; Deep neural networks; Prediction models; Activation functions; APTx activation function; Banking sectors; Churn predictions; Customer churn prediction; Customer churns; Hyper-parameter; Hyperparameter selection; Imbalanced Learning; Neural-networks; Sales","John Wiley and Sons Ltd","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85203090609"
